Time,Host,Schema,Table Name,Number of Rows,Data Size,Index Size
05/08/2012 12:59,server0124,hack,table2,4,16390,100
05/08/2012 13:00,server0124,hack,table2,7,16390,102
05/08/2012 13:01,server0124,hack,table2,10,16390,104
05/08/2012 13:02,server0124,hack,table2,13,16390,106
05/08/2012 13:03,server0124,hack,table2,16,16390,108
05/08/2012 13:04,server0124,hack,table2,19,16390,110
05/08/2012 13:05,server0124,hack,table2,22,16390,112
05/08/2012 13:06,server0124,hack,table2,25,16390,114
05/08/2012 13:07,server0124,hack,table2,28,16390,116
05/08/2012 13:08,server0124,hack,table2,31,16390,118
05/08/2012 13:09,server0124,hack,table2,34,16390,120
05/08/2012 13:10,server0124,hack,table2,37,16390,122
05/08/2012 13:11,server0124,hack,table2,40,16390,124
05/08/2012 13:12,server0124,hack,table2,43,16390,126
05/08/2012 13:13,server0124,hack,table2,46,16390,128
05/08/2012 13:14,server0124,hack,table2,49,16390,130
05/08/2012 13:15,server0124,hack,table2,52,16390,132
05/08/2012 13:16,server0124,hack,table2,55,16390,134
05/08/2012 13:17,server0124,hack,table2,58,16390,136
05/08/2012 13:18,server0124,hack,table2,61,16390,138
05/08/2012 13:19,server0124,hack,table2,64,16390,140
05/08/2012 13:20,server0124,hack,table2,67,16390,142
05/08/2012 13:21,server0124,hack,table2,70,16390,144
05/08/2012 13:22,server0124,hack,table2,73,16390,146
05/08/2012 13:23,server0124,hack,table2,76,16390,148
05/08/2012 13:24,server0124,hack,table2,79,16390,150
05/08/2012 13:25,server0124,hack,table2,82,16390,152
05/08/2012 13:26,server0124,hack,table2,85,18000,154
05/08/2012 13:27,server0124,hack,table2,88,19610,156
05/08/2012 13:28,server0124,hack,table2,91,21220,158
05/08/2012 13:29,server0124,hack,table2,94,22830,160
05/08/2012 13:30,server0124,hack,table2,97,24440,162
05/08/2012 13:31,server0124,hack,table2,100,26050,164
05/08/2012 13:32,server0124,hack,table2,103,27660,166
05/08/2012 13:33,server0124,hack,table2,106,29270,168
05/08/2012 13:34,server0124,hack,table2,109,30880,170
05/08/2012 13:35,server0124,hack,table2,112,32490,172
05/08/2012 13:36,server0124,hack,table2,115,34100,174
05/08/2012 13:37,server0124,hack,table2,118,35710,176
05/08/2012 13:38,server0124,hack,table2,121,37320,178
05/08/2012 13:39,server0124,hack,table2,124,38930,180
05/08/2012 13:40,server0124,hack,table2,127,40540,182
05/08/2012 13:41,server0124,hack,table2,130,42150,184
05/08/2012 13:42,server0124,hack,table2,133,43760,186
05/08/2012 13:43,server0124,hack,table2,136,45370,188
05/08/2012 13:44,server0124,hack,table2,139,46980,190
05/08/2012 13:45,server0124,hack,table2,142,48590,192
05/08/2012 13:46,server0124,hack,table2,145,50200,194
05/08/2012 13:47,server0124,hack,table2,148,51810,196
05/08/2012 13:48,server0124,hack,table2,151,53420,198
05/08/2012 13:49,server0124,hack,table2,154,55030,200
05/08/2012 13:50,server0124,hack,table2,157,56640,202
05/08/2012 13:51,server0124,hack,table2,160,58250,204
05/08/2012 13:52,server0124,hack,table2,163,59860,206
05/08/2012 13:53,server0124,hack,table2,166,61470,208
05/08/2012 13:54,server0124,hack,table2,169,63080,210
05/08/2012 13:55,server0124,hack,table2,172,64690,212
05/08/2012 13:56,server0124,hack,table2,175,66300,214
05/08/2012 13:57,server0124,hack,table2,178,67910,216
05/08/2012 13:58,server0124,hack,table2,181,69520,218
05/08/2012 13:59,server0124,hack,table2,184,71130,220
05/08/2012 14:00,server0124,hack,table2,187,72740,222
05/08/2012 14:01,server0124,hack,table2,190,74350,224
05/08/2012 14:02,server0124,hack,table2,193,75960,226
05/08/2012 14:03,server0124,hack,table2,196,77570,228
05/08/2012 14:04,server0124,hack,table2,199,79180,230
05/08/2012 14:05,server0124,hack,table2,202,80790,232
05/08/2012 14:06,server0124,hack,table2,205,82400,234
05/08/2012 14:07,server0124,hack,table2,208,84010,236
05/08/2012 14:08,server0124,hack,table2,211,85620,238
05/08/2012 14:09,server0124,hack,table2,214,87230,240
05/08/2012 14:10,server0124,hack,table2,217,88840,242
05/08/2012 14:11,server0124,hack,table2,220,90450,244
05/08/2012 14:12,server0124,hack,table2,223,92060,246
05/08/2012 14:13,server0124,hack,table2,226,93670,248
05/08/2012 14:14,server0124,hack,table2,229,95280,250
05/08/2012 14:15,server0124,hack,table2,232,96890,252
05/08/2012 14:16,server0124,hack,table2,235,98500,254
05/08/2012 14:17,server0124,hack,table2,238,100110,256
05/08/2012 14:18,server0124,hack,table2,241,101720,258
05/08/2012 14:19,server0124,hack,table2,244,103330,260
05/08/2012 14:20,server0124,hack,table2,247,104940,262
05/08/2012 14:21,server0124,hack,table2,250,106550,264
05/08/2012 14:22,server0124,hack,table2,253,108160,266
05/08/2012 14:23,server0124,hack,table2,256,109770,268
05/08/2012 14:24,server0124,hack,table2,259,111380,270
05/08/2012 14:25,server0124,hack,table2,262,112990,272
05/08/2012 14:26,server0124,hack,table2,265,114600,274
05/08/2012 14:27,server0124,hack,table2,268,116210,276
05/08/2012 14:28,server0124,hack,table2,271,117820,278
05/08/2012 14:29,server0124,hack,table2,274,119430,280
05/08/2012 14:30,server0124,hack,table2,277,121040,282
05/08/2012 14:31,server0124,hack,table2,280,122650,284
05/08/2012 14:32,server0124,hack,table2,283,124260,286
05/08/2012 14:33,server0124,hack,table2,286,125870,288
05/08/2012 14:34,server0124,hack,table2,289,127480,290
05/08/2012 14:35,server0124,hack,table2,292,129090,292
05/08/2012 14:36,server0124,hack,table2,295,130700,294
05/08/2012 14:37,server0124,hack,table2,298,132310,296
05/08/2012 14:38,server0124,hack,table2,301,133920,298
05/08/2012 14:38,server0124,hack,table2,304,135530,300
05/08/2012 14:39,server0124,hack,table2,307,137140,302
05/08/2012 14:40,server0124,hack,table2,310,138750,304
05/08/2012 14:41,server0124,hack,table2,313,140360,306
05/08/2012 14:42,server0124,hack,table2,316,141970,308
05/08/2012 14:43,server0124,hack,table2,319,143580,310
05/08/2012 14:44,server0124,hack,table2,322,145190,312
05/08/2012 14:45,server0124,hack,table2,325,146800,314
05/08/2012 14:46,server0124,hack,table2,328,148410,316
05/08/2012 14:47,server0124,hack,table2,331,150020,318
05/08/2012 14:48,server0124,hack,table2,334,151630,320
05/08/2012 14:49,server0124,hack,table2,337,153240,322
05/08/2012 14:50,server0124,hack,table2,340,154850,324
05/08/2012 14:51,server0124,hack,table2,343,156460,326
05/08/2012 14:52,server0124,hack,table2,346,158070,328
05/08/2012 14:53,server0124,hack,table2,349,159680,330
05/08/2012 14:54,server0124,hack,table2,352,161290,332
05/08/2012 14:55,server0124,hack,table2,355,162900,334
05/08/2012 14:56,server0124,hack,table2,358,164510,336
05/08/2012 14:57,server0124,hack,table2,361,166120,338
05/08/2012 14:58,server0124,hack,table2,364,167730,340
05/08/2012 14:59,server0124,hack,table2,367,169340,342
05/08/2012 15:00,server0124,hack,table2,370,170950,344
05/08/2012 15:01,server0124,hack,table2,373,172560,346
05/08/2012 15:02,server0124,hack,table2,376,174170,348
05/08/2012 15:03,server0124,hack,table2,379,175780,350
05/08/2012 15:04,server0124,hack,table2,382,177390,352
05/08/2012 15:05,server0124,hack,table2,385,179000,354
05/08/2012 15:06,server0124,hack,table2,388,180610,356
05/08/2012 15:07,server0124,hack,table2,391,182220,358
05/08/2012 15:08,server0124,hack,table2,394,183830,360
05/08/2012 15:09,server0124,hack,table2,397,185440,362
05/08/2012 15:10,server0124,hack,table2,400,187050,364
05/08/2012 15:11,server0124,hack,table2,403,188660,366
05/08/2012 15:12,server0124,hack,table2,406,190270,368
05/08/2012 15:13,server0124,hack,table2,409,191880,370
05/08/2012 15:14,server0124,hack,table2,412,193490,372
05/08/2012 15:15,server0124,hack,table2,415,195100,374
05/08/2012 15:16,server0124,hack,table2,418,196710,376
05/08/2012 15:17,server0124,hack,table2,421,198320,378
05/08/2012 15:18,server0124,hack,table2,424,199930,380
05/08/2012 15:19,server0124,hack,table2,427,201540,382
05/08/2012 15:20,server0124,hack,table2,430,203150,384
05/08/2012 15:21,server0124,hack,table2,433,204760,386
05/08/2012 15:22,server0124,hack,table2,436,206370,388
05/08/2012 15:23,server0124,hack,table2,439,207980,390
05/08/2012 15:24,server0124,hack,table2,442,209590,392
05/08/2012 15:25,server0124,hack,table2,445,211200,394
05/08/2012 15:26,server0124,hack,table2,448,212810,396
05/08/2012 15:27,server0124,hack,table2,451,214420,398
05/08/2012 15:28,server0124,hack,table2,454,216030,400
05/08/2012 15:29,server0124,hack,table2,457,217640,402
05/08/2012 15:30,server0124,hack,table2,460,219250,404
05/08/2012 15:31,server0124,hack,table2,463,220860,406
05/08/2012 15:32,server0124,hack,table2,466,16384,408
05/08/2012 15:33,server0124,hack,table2,469,16384,410
05/08/2012 15:34,server0124,hack,table2,472,16384,412
05/08/2012 15:35,server0124,hack,table2,475,16384,414
05/08/2012 15:36,server0124,hack,table2,478,16384,416
05/08/2012 15:37,server0124,hack,table2,481,16384,418
05/08/2012 15:38,server0124,hack,table2,484,16384,420
05/08/2012 15:39,server0124,hack,table2,487,16384,422
05/08/2012 15:40,server0124,hack,table2,490,16384,424
05/08/2012 15:41,server0124,hack,table2,493,16384,426
